Obec|ico
Obec+Babie|00332241
Obec+Banské|00332259
Obec+Benkovce|00332267
Obec+Bystré|00332275
Obec+Cabov|00332283
Obec+Čaklov|00332291
Obec+Čičava|00332305
Obec+Čierne+nad+Topľou|00332313
Obec+Davidov|00332330
Obec+Detrík|00332348
Obec+Dlhé+Klčovo|00332356
Obec+Ďapalovce|00332321
Obec+Ďurďoš|00332364
Obec+Giglovce|00332372
Obec+Girovce|00332381
Obec+Hencovce|35532319
Obec+Hermanovce+nad+Topľou|00332402
Obec+Hlinné|00332411
Obec+Holčíkovce|00332429
Obec+Jasenovce|00332437
Obec+Jastrabie+nad+Topľou|00332445
Obec+Juskova+Voľa|00332453
Obec+Kamenná+Poruba|00332461
Obec+Kladzany|00332470
Obec+Komárany|00332488
Obec+Kučín|00332500
Obec+Kvakovce|00332518
Obec+Majerovce|00332526
Obec+Malá+Domaša|00332534
Obec+Matiaška|00332542
Obec+Medzianky|00332551
Obec+Merník|00332569
Obec+Michalok|00332577
Obec+Nižný+Hrabovec|00332593
Obec+Nižný+Hrušov|00332607
Obec+Nižný+Kručov|00332615
Obec+Nová+Kelča|00332623
Obec+Ondavské+Matiašovce|00332631
Obec+Pavlovce|00332658
Obec+Petkovce|00332666
Obec+Petrovce|00332674
Obec+Piskorovce|00332682
Obec+Poša|00332691
Obec+Prosačov|00332712
Obec+Radvanovce|00332721
Obec+Rafajovce|00332739
Obec+Remeniny|00332747
Obec+Rudlov|00332763
Obec+Ruská+Voľa|00332798
Obec+Sačurov|00332810
Obec+Sečovská+Polianka|00332828
Obec+Sedliská|00332836
Obec+Skrabské|00332844
Obec+Slovenská+Kajňa|00332852
Obec+Soľ|00332861
Obec+Štefanovce|00332879
Obec+Tovarné|00332887
Obec+Tovarnianska+Polianka|00332895
Obec+Vavrinec|00332909
Obec+Vechec|00332925
Obec+Vlača|00332917
Obec+Vyšný+Kazimír|00332801
Obec+Vyšný+Žipov|00332950
Obec+Zámutov|00332968
Obec+Zlatník|00332984
Obec+Žalobín|00332992
Mesto+Vranov+nad+Topľou|00332933
Mesto+Hanušovce+nad+Topľou|00332399