Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK041D528731,Holčíkovce,419,211,50.36,208,49.64
SK041D528749,Jasenovce,213,114,53.52,99,46.48
SK041D528757,Jastrabie nad Topľou,487,261,53.59,226,46.41
SK041D528765,Juskova Voľa,296,150,50.68,146,49.32
SK041D528773,Kamenná Poruba (Okres Vranov nad Topľou),1548,772,49.87,776,50.13
SK041D528781,Kladzany,536,272,50.75,264,49.25
SK041D528790,Komárany,505,241,47.72,264,52.28
SK041D528811,Kučín (Okres Vranov nad Topľou),556,283,50.9,273,49.1
SK041D528820,Kvakovce,412,226,54.85,186,45.15
SK041D528838,Majerovce,449,217,48.33,232,51.67
SK041D528846,Malá Domaša,639,322,50.39,317,49.61
SK041D528854,Matiaška,290,140,48.28,150,51.72
SK041D528862,Medzianky,299,155,51.84,144,48.16
SK041D528871,Merník,614,311,50.65,303,49.35
SK041D528889,Michalok,276,148,53.62,128,46.38
SK041D528901,Nižný Hrabovec,1625,812,49.97,813,50.03
SK041D528919,Nižný Hrušov,1508,736,48.81,772,51.19
SK041D528927,Nižný Kručov,387,177,45.74,210,54.26
SK041D528935,Nová Kelča,330,164,49.7,166,50.3
SK041D528943,Ondavské Matiašovce,805,412,51.18,393,48.82
SK041D528960,Pavlovce (Okres Vranov nad Topľou),797,404,50.69,393,49.31
SK041D528978,Petkovce,135,71,52.59,64,47.41
SK041D528986,Petrovce (Okres Vranov nad Topľou),450,215,47.78,235,52.22
SK041D528994,Piskorovce,117,60,51.28,57,48.72
SK041D529001,Poša,941,468,49.73,473,50.27
SK041D529028,Prosačov,211,104,49.29,107,50.71
SK041D529036,Radvanovce,218,103,47.25,115,52.75
SK041D529044,Rafajovce,165,81,49.09,84,50.91
SK041D529052,Remeniny,273,144,52.75,129,47.25
SK041D529079,Rudlov,687,335,48.76,352,51.24
SK041D529109,Ruská Voľa,86,44,51.16,42,48.84
SK041D529117,Vyšný Kazimír,188,94,50,94,50
SK041D529125,Sačurov,2478,1241,50.08,1237,49.92
SK041D529133,Sečovská Polianka,2701,1352,50.06,1349,49.94
SK041D529141,Sedliská,1477,739,50.03,738,49.97
SK041D529150,Skrabské,775,388,50.06,387,49.94
SK041D529168,Slovenská Kajňa,727,344,47.32,383,52.68
SK041D529176,Soľ,2629,1333,50.7,1296,49.3
SK041D529184,Štefanovce (Okres Vranov nad Topľou),107,54,50.47,53,49.53
SK041D529192,Tovarné,992,507,51.11,485,48.89
SK041D529206,Tovarnianska Polianka,110,53,48.18,57,51.82
SK041D529214,Vavrinec,55,31,56.36,24,43.64
SK041D529222,Vechec,2837,1398,49.28,1439,50.72
SK041D529231,Vlača,226,111,49.12,115,50.88
SK041D529257,Vyšný Žipov,1142,567,49.65,575,50.35
SK041D529265,Zámutov,3290,1644,49.97,1646,50.03
SK041D529281,Zlatník,76,40,52.63,36,47.37
SK041D529290,Žalobín,819,393,47.99,426,52.01
SK041D544051,Vranov nad Topľou,21248,10330,48.62,10918,51.38
SK041D544060,Babie,230,108,46.96,122,53.04
SK041D544078,Banské,1906,969,50.84,937,49.16
SK041D544086,Benkovce,557,253,45.42,304,54.58
SK041D544094,Bystré,2745,1388,50.56,1357,49.44
SK041D544108,Cabov,383,190,49.61,193,50.39
SK041D544116,Čaklov,2687,1329,49.46,1358,50.54
SK041D544124,Čičava,1288,632,49.07,656,50.93
SK041D544132,Čierne nad Topľou,719,353,49.1,366,50.9
SK041D544141,Ďapalovce,433,209,48.27,224,51.73
SK041D544159,Davidov,781,376,48.14,405,51.86
SK041D544167,Detrík,54,23,42.59,31,57.41
SK041D544175,Dlhé Klčovo,1372,687,50.07,685,49.93
SK041D544183,Ďurďoš,256,129,50.39,127,49.61
SK041D544191,Giglovce,146,74,50.68,72,49.32
SK041D544205,Girovce,55,29,52.73,26,47.27
SK041D544213,Hanušovce nad Topľou,3777,1872,49.56,1905,50.44
SK041D544221,Hermanovce nad Topľou,688,347,50.44,341,49.56
SK041D544230,Hlinné,1887,971,51.46,916,48.54
SK041D581674,Hencovce,1311,652,49.73,659,50.27